priority,channel,tickets,fr_breach_rate,res_breach_rate,mttr_hours
P1,chat,1,1.0,1.0,7.352
P1,email,1,1.0,1.0,4.848
P1,portal,2,0.5,1.0,6.318
P2,email,6,0.333,0.667,9.954
P2,portal,12,0.667,0.583,9.233
P1,phone,2,1.0,0.5,3.8
P2,chat,4,0.75,0.5,7.24
P3,email,16,0.25,0.438,22.739
P2,phone,8,0.5,0.375,8.255
P3,portal,11,0.455,0.364,22.979
P4,email,7,0.429,0.286,52.162
P4,chat,8,0.375,0.25,47.401
P3,phone,15,0.333,0.2,18.828
P3,chat,17,0.412,0.118,18.548
P4,phone,5,0.6,0.0,39.745
P4,portal,5,0.2,0.0,50.21
