ticket_id,created_at,first_responded_at,resolved_at,priority,channel,agent_id
T0000,2026-07-26T06:00:00,2026-07-26T11:12:41.222263,2026-07-27T05:22:48.178754,P4,email,AG05
T0001,2026-06-17T01:00:00,2026-06-17T01:51:27.576130,2026-06-17T23:12:29.521905,P3,chat,AG01
T0002,2026-06-15T16:00:00,2026-06-15T16:55:50.790403,2026-06-16T02:32:23.871745,P3,phone,AG04
T0003,2026-06-11T02:00:00,2026-06-11T04:19:13.995308,2026-06-12T13:37:36.219081,P4,portal,AG06
T0004,2026-06-11T13:00:00,2026-06-11T15:56:46.306537,2026-06-13T00:20:06.514644,P3,email,AG01
T0005,2026-06-23T17:00:00,2026-06-23T18:23:22.462851,2026-06-24T04:17:53.457598,P3,chat,AG03
T0006,2026-07-01T20:00:00,2026-07-01T21:12:49.948983,2026-07-02T01:03:59.692661,P2,phone,AG01
T0007,2026-06-11T17:00:00,2026-06-11T21:19:02.012968,2026-06-12T14:53:58.581107,P3,portal,AG05
T0008,2026-08-12T23:00:00,2026-08-13T04:57:59.111648,2026-08-16T11:38:27.228677,P4,email,AG03
T0009,2026-07-22T03:00:00,2026-07-22T03:29:46.460547,2026-07-22T14:34:41.253371,P2,chat,AG01
T0010,2026-07-22T05:00:00,2026-07-22T10:53:48.052402,2026-07-23T09:25:28.085175,P3,phone,AG03
T0011,2026-06-13T11:00:00,2026-06-13T11:55:59.610624,2026-06-13T22:19:42.780811,P2,portal,AG02
T0012,2026-08-23T10:00:00,2026-08-23T16:25:56.823652,2026-08-23T20:10:24.144604,P3,email,AG05
T0013,2026-07-24T13:00:00,2026-07-24T15:39:33.960207,2026-07-25T10:54:24.819366,P3,chat,AG04
T0014,2026-06-12T17:00:00,2026-06-13T04:04:35.754052,2026-06-14T22:11:12.781030,P4,phone,AG06
T0015,2026-06-12T02:00:00,2026-06-12T03:27:09.847341,2026-06-12T12:07:06.302639,P2,portal,AG06
T0016,2026-08-16T01:00:00,2026-08-16T03:52:44.570022,2026-08-17T03:43:20.193761,P3,email,AG01
T0017,2026-08-18T19:00:00,2026-08-18T23:16:02.413865,2026-08-19T16:49:24.253851,P3,chat,AG02
T0018,2026-07-20T01:00:00,2026-07-20T01:37:14.257902,2026-07-20T08:18:01.608244,P2,phone,AG04
T0019,2026-06-14T18:00:00,2026-06-14T18:54:10.852092,2026-06-15T00:03:22.429579,P2,portal,AG02
T0020,2026-08-13T11:00:00,2026-08-13T14:58:11.368877,2026-08-15T12:04:14.722337,P4,email,AG03
T0021,2026-08-04T22:00:00,2026-08-05T00:36:35.362782,2026-08-06T06:20:06.867580,P4,chat,AG02
T0022,2026-07-10T19:00:00,2026-07-10T19:34:05.296479,2026-07-10T22:05:38.606078,P1,phone,AG03
T0023,2026-06-01T16:00:00,2026-06-01T17:08:48.300351,2026-06-02T01:42:28.572436,P2,portal,AG03
T0024,2026-06-22T10:00:00,2026-06-22T13:40:43.909814,2026-06-23T11:17:33.349140,P3,email,AG06
