date,amount,category,note
2026-09-01,53.56,bills,cinema
2026-09-01,82.75,housing,bus
2026-09-01,20.36,food,misc
2026-09-01,13.96,fun,cinema
2026-09-02,21.16,food,misc
2026-09-02,27.05,fun,cinema
2026-09-02,17.39,other,utilities
2026-09-03,34.61,fun,supermarket
2026-09-03,10.71,food,bus
2026-09-04,29.68,bills,utilities
2026-09-05,28.49,fun,cinema
2026-09-05,7.55,food,misc
2026-09-06,9.17,transport,supermarket
2026-09-06,29.19,bills,bus
2026-09-06,8.95,fun,utilities
2026-09-07,13.01,transport,cinema
2026-09-08,21.64,other,supermarket
2026-09-09,32.31,food,cinema
2026-09-09,11.22,transport,cinema
2026-09-10,14.35,fun,misc
2026-09-11,6.05,transport,supermarket
2026-09-11,19.68,other,supermarket
2026-09-11,26.21,food,supermarket
2026-09-12,64.34,housing,misc
2026-09-13,4.48,transport,misc
2026-09-13,33.87,bills,cinema
2026-09-14,14.87,transport,supermarket
2026-09-15,58.87,bills,utilities
2026-09-15,13.5,transport,bus
2026-09-15,34.88,food,utilities
2026-09-16,9.39,food,cinema
2026-09-17,23.31,food,rent
2026-09-17,2.97,transport,bus
2026-09-17,15.78,fun,utilities
2026-09-18,7.89,transport,utilities
2026-09-18,68.73,housing,cinema
2026-09-18,9.62,food,bus
2026-09-19,22.13,bills,misc
2026-09-19,7.32,other,cinema
2026-09-20,21.49,fun,supermarket
2026-09-20,20.37,food,rent
2026-09-20,26.14,food,rent
2026-09-20,13.76,transport,cinema
2026-09-21,37.74,fun,supermarket
2026-09-21,19.38,food,misc
2026-09-21,42.64,bills,rent
2026-09-22,7.49,other,supermarket
2026-09-22,17.34,food,bus
2026-09-23,13.46,food,utilities
2026-09-24,9.15,food,cinema
2026-09-24,17.45,other,misc
2026-09-25,37.55,fun,cinema
2026-09-25,18.42,other,supermarket
2026-09-26,10.39,fun,supermarket
2026-09-27,14.99,transport,supermarket
2026-09-27,58.39,housing,supermarket
2026-09-27,19.22,other,misc
2026-09-28,56.18,bills,rent
2026-09-28,19.2,food,supermarket
